Comment,Description,Designator,Footprint,Quantity,Supplier Part Number 1,Supplier Stock 1,Supplier Unit Price 1,Manufacturer,PartNumber,Supplier 1
74AHCT1G14,IC SCHMIT-TRIGG INV GATE SOT353,U3,SOT-353,1,74AHCT1G14SE-7DICT-ND,12488,0.25,Diodes Incorporated,74AHCT1G14SE-7,Digi-Key
SN75HVD08DR,IC RS485 TXRX 3/5V 8-SOIC,U4,SOIC-SN8_N,1,296-37893-1-ND,9884,3.97,Texas Instruments,SN75HVD08DR,Digi-Key
MCP2558,Microchip CAN FD Transceiver with Silent Mode,"U5, U8, U9",TDFN,3,MCP2558FDT-H/MNYCT-ND,3086,0.81,"Microchip Technology, Microchip",MCP2558FDT-H/MNY,Digi-Key
MK66FX1M0VMD18,"Kinetis K66: 180MHz Cortex-M4F MCU, 1.2MB Flash, 256KB SRAM, 2xUSB, Ethernet, 144-MAPBGA",U6,*BGA144C100P12X12_1300X1300X170_MK66FX1M0VMD18(Primary),1,568-13335-ND,284,17.65,NXP USA Inc.,MK66FX1M0VMD18,Digi-Key
MCP2003A-E/SN,"LIN J2602 Transceiver, 8-Pin SOIC, Extended Temperature, Tape and Reel",U7,SOIC-SN8_N,1,MCP2003A-E/SN-ND,2681,0.82,Microchip Technology,MCP2003A-E/SN,Digi-Key
UX60SC-MB-5S8,"USB - mini B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole",USB1,USB Mini UX60S,1,H11589CT-ND,1274,1.05,Hirose,UX60SC-MB-5S8,Digi-Key
32.768 KHz,Canned Oscillator,X1,XTAL 2-pad Small,1,XC2292CT-ND,30,0.59,ECS Inc.,ECX-.327-CDX-1293,Digi-Key
40MHz,"40MHz ±10ppm Crystal 10pF 40 Ohms 4-SMD, No Lead",Y1,XTAL 4 pad,1,XC3069CT-ND,725,0.5,ECS Inc.,ECS-400-10-37B-CKY-TR,Digi-Key
16MHz,"16MHz ±30ppm Crystal 18pF 80 Ohms 4-SMD, No Lead",Y3,XTAL 4 pad,1,XC2866CT-ND,1734,0.69,ECS Inc.,XC2866CT-ND,Digi-Key
SMA6J,TVS DIODE 20VWM 36.8VC SMA,Z1,SMA,1,SMA6J24CA-TPMSCT-ND,8981,0.41,Micro Commercial Co,SMA6J24CA-TP,Digi-Key
